survey_id,user_id,reservation_id,nps_score,satisfaction_score,inconvenience,info_reliability_score,improvements
1,user07,R2026031302056,0,2,공간이 넓고 채광도 좋아서 만족스러웠습니다. 다만 와이파이 연결이 불안정한 편이었어요.,3,공간 예약 내역을 캘린더와 연동할 수 있으면 더욱 편리하게 사용할 수 있을 것 같습니다.
2,user02,R2026031302058,4,2,방음이 잘 되어 있어서 집중하기 좋은 환경이었습니다. 다음에도 이용할 예정입니다.,2,예약 전 공간 주인에게 질문할 수 있는 Q&A 기능이 있으면 좋겠습니다.
3,user05,R2026031302061,4,2,예약 변경이 유연하게 가능해서 만족스러웠습니다. 친절한 서비스였어요.,1,공간 오너와 직접 메시지를 주고받을 수 있는 채팅 기능이 있으면 좋겠어요.
4,user07,R2026031302063,9,5,에어컨 작동이 제대로 되지 않아 더운 환경에서 이용해야 했습니다.,3,"공간 내 제공되는 서비스(프린터, 빔프로젝터 등) 정보가 더 상세했으면 합니다."
5,user02,R2026031302072,8,4,보안이 철저하여 안심하고 이용할 수 있었습니다. 청결도도 매우 높았어요.,3,즐겨찾기 기능을 추가해 주세요. 자주 가는 장소를 저장할 수 있으면 편리할 것 같습니다.
6,user07,R2026031302084,9,4,화장실 위치가 불편했고 공용이라 사용하기 어색했습니다.,5,공간 예약 내역을 캘린더와 연동할 수 있으면 더욱 편리하게 사용할 수 있을 것 같습니다.
7,user01,R2026031302085,3,2,주차가 어려웠지만 공간 자체는 매력적이었습니다. 대중교통 이용을 권장합니다.,1,정기 이용권 또는 멤버십 할인 제도가 생겼으면 합니다.
8,user03,R2026031302087,0,2,방음이 잘 되어 있어서 집중하기 좋은 환경이었습니다. 다음에도 이용할 예정입니다.,3,즐겨찾기 기능을 추가해 주세요. 자주 가는 장소를 저장할 수 있으면 편리할 것 같습니다.
9,user06,R2026031302097,9,5,주차가 어려웠지만 공간 자체는 매력적이었습니다. 대중교통 이용을 권장합니다.,4,추천 알고리즘이 개선되어 취향에 맞는 공간을 더 잘 찾아줬으면 좋겠습니다.
10,user07,R2026031302098,6,3,인테리어가 아늑하고 분위기가 좋았습니다. 사진 찍기에도 최적의 장소였어요.,4,공간 예약 내역을 캘린더와 연동할 수 있으면 더욱 편리하게 사용할 수 있을 것 같습니다.
11,user01,R2026031302099,5,3,방음이 잘 되어 있어서 집중하기 좋은 환경이었습니다. 다음에도 이용할 예정입니다.,3,로그인 없이도 간단 조회가 가능했으면 합니다. 비회원 기능을 강화해 주세요.
12,user02,R2026031302100,1,2,소음이 생각보다 좀 있었지만 전체적으로 이용하기 좋은 환경이었습니다.,1,지도에서 공간 위치 확인 기능이 개선되었으면 합니다. 현재는 정확도가 떨어집니다.
13,user04,R2026031302102,8,4,화장실 위치가 불편했고 공용이라 사용하기 어색했습니다.,5,예약 시 공간 이용 규칙을 더 명확히 안내해 주셨으면 합니다.
14,user06,R2026031302104,8,4,에어컨 작동이 제대로 되지 않아 더운 환경에서 이용해야 했습니다.,3,다국어 지원이 되면 외국인 이용자에게도 편리할 것 같습니다.
15,user01,R2026031302106,8,4,예약한 공간이 사진과 거의 동일해서 좋았습니다. 조용하고 아늑한 분위기였어요.,3,검색 필터 기능이 더 세분화되었으면 좋겠습니다. 현재는 너무 단순한 것 같아요.
16,user06,R2026031302111,5,3,보안이 철저하여 안심하고 이용할 수 있었습니다. 청결도도 매우 높았어요.,4,공간 예약 후 주변 맛집이나 편의시설 정보를 제공해 주시면 도움이 될 것 같습니다.
17,user01,R2026031302113,7,4,전체적으로 깔끔하고 현대적인 인테리어가 마음에 들었습니다.,5,공간별 인기 시간대 정보를 제공해 주시면 예약 계획에 도움이 될 것 같습니다.
