admin1,question,answer,category
admin1,서비스 이용 중에 발견한 시스템 오류나 버그는 어디로 제보하나요?,서비스 이용 중 화면이 깨지거나 버튼이 작동하지 않는 등의 오류를 발견하시면 '마이페이지 > 1:1 문의하기'의 '시스템 오류/제보' 카테고리를 선택하여 내용을 남겨주세요. 오류가 발생한 화면을 캡처하여 첨부해 주시면 개발팀에서 원인을 파악하는 데 큰 도움이 됩니다. 유의미한 버그를 제보해 주신 분들께는 감사의 의미로 '버그 리포터' 포인트를 증정하고 있으니 적극적인 제보 부탁드립니다.,기타
admin1,개인 블로그나 유튜브에 장소 리뷰 영상을 올려도 저작권 문제가 없나요?,"네, 본인이 직접 예약하고 이용하신 장소의 리뷰를 개인 SNS나 유튜브에 올리시는 것은 언제든지 환영입니다! 다만, 장소 내부의 인테리어나 특정 소품이 상업적 저작권을 가진 경우 해당 브랜드의 노출에 주의해 주시고, 다른 이용객의 얼굴이 찍히지 않도록 모자이크 처리를 반드시 해주시기 바랍니다. 영상 설명란에 저희 서비스 링크를 남겨주시면 추후 진행되는 '우수 리뷰어' 선정 시 가산점을 드립니다.",기타
admin1,아이디를 여러 개 만들어서 중복으로 가입해도 되나요?,"저희 서비스는 1인 1계정 원칙으로 운영됩니다. 본인 인증 시스템을 통해 중복 가입을 제한하고 있으며, 만약 타인의 명의를 도용하거나 가상 번호를 이용해 여러 계정을 생성하여 쿠폰이나 포인트를 부정 수급하는 경우, 관련 계정은 모두 영구 정지 처리되며 지급된 혜택은 전액 환수됩니다. 정직하게 활동해 주시는 사용자분들을 보호하기 위한 조치이오니 양해 부탁드립니다.",기타
admin1,서비스 로고나 디자인 리소스를 과제나 포트폴리오에 사용해도 되나요?,신촌 ICT 인재개발원 프로젝트의 일환으로 제작된 본 서비스의 로고나 디자인 자산은 비영리 목적인 학생 과제나 개인 포트폴리오 용도로는 출처를 명시하고 사용하실 수 있습니다. 하지만 이를 상업적으로 이용하거나 본 서비스의 공식 입장인 것처럼 사칭하여 게시하는 행위는 금지됩니다. 고화질 로고 파일이 필요하신 경우 홍보팀 이메일로 요청 주시면 검토 후 제공해 드리고 있습니다.,기타
admin1,대관료 외에 전기료나 냉난방비가 별도로 청구되는 경우가 있나요?,"기본적으로 예약 결제 금액에는 전기료, 냉난방비, 수도료 등 모든 공공요금이 포함되어 있습니다. 하지만 특정 공간에서 대형 서버를 가동하거나 특수 촬영 장비를 동원하여 과도한 전력을 사용하는 경우, 혹은 기본 제공 시간을 초과하여 무단으로 냉난방을 가동하는 경우에는 현장에서 추가 비용이 발생할 수 있습니다. 특수 장비를 지참하신다면 반드시 예약 시 상세 내용을 메모에 남겨주시기 바랍니다.",기타
admin1,외국인 친구와 함께 방문하려고 하는데 영문 서비스도 지원하나요?,"현재 서비스는 한국어를 기본으로 지원하며, 글로벌 사용자들을 위해 구글 번역 API를 연동한 '영문 보기' 기능을 테스트 중입니다. 웹 브라우저 상단의 언어 선택 버튼을 통해 영문으로 전환이 가능하지만, 질문이나 리뷰 답변 등 사용자가 직접 입력한 텍스트는 번역이 완벽하지 않을 수 있습니다. 외국인 고객님의 원활한 이용을 위해 현장 관리자와 소통할 수 있는 간단한 영문 안내 가이드북을 장소 내에 비치해 두었습니다.",기타
admin1,장소 내에서 촬영한 사진을 상업적 광고 모델 사진으로 써도 되나요?,"장소를 쇼핑몰 촬영이나 광고 모델 촬영 등 상업적인 목적으로 이용하시려면, 예약 시 반드시 '상업적 촬영' 옵션을 선택하시거나 미리 관리자의 승인을 얻어야 합니다. 일반적인 대관료와 상업적 촬영 대관료는 차이가 있을 수 있으며, 사전에 협의되지 않은 상업적 활용은 추후 저작권 및 장소 사용권 분쟁의 원인이 될 수 있습니다. 전문 촬영팀의 경우 별도의 계약서를 작성하기도 하니 고객센터로 문의 주세요.",기타
admin1,연말 정산 시 이용 금액에 대해 현금영수증을 한꺼번에 발급받고 싶어요.,현금영수증은 결제 건별로 즉시 발행되는 것이 원칙입니다. 따라서 연말에 한꺼번에 소급하여 발행해 드리는 것은 국세청 정책상 불가능합니다. 결제 단계에서 '현금영수증 신청'을 미리 설정해 두시면 결제 완료와 동시에 자동으로 국세청에 등록되니 초기 설정을 꼭 확인해 주세요. 이미 발행된 영수증 내역은 마이페이지의 '결제 내역 관리' 메뉴에서 연도별로 조회하여 한눈에 확인하실 수 있습니다.,기타
admin1,장소 이용 중에 다쳤을 경우 보험 처리가 가능한가요?,"저희 서비스에 등록된 모든 장소는 의무적으로 '영업배상책임보험'에 가입되어 있습니다. 장소 시설물의 결함이나 관리 부주의로 인해 사고가 발생한 경우 보험 청구가 가능하오니 즉시 현장 관리자에게 알리고 사고 내용을 사진이나 영상으로 기록해 주세요. 다만, 사용자의 부주의나 과실로 인한 사고, 이용 규칙 미준수로 발생한 부상은 보험 적용이 제한될 수 있으니 항상 안전에 유의하여 이용해 주시기 바랍니다.",기타
admin1,회사가 신촌이 아닌 다른 지역에도 있나요? 확장 계획이 궁금해요.,"현재 저희 서비스는 신촌 ICT 인재개발원 주변의 강북 핵심 상권을 중심으로 운영되고 있습니다. 사용자분들의 뜨거운 성원에 힘입어 올해 하반기부터는 강남, 홍대, 건대 등 주요 대학가와 업무 지구로 서비스를 확장할 계획을 가지고 있습니다. 새로운 지역이 오픈될 때마다 해당 지역 거주 회원님들께 '지역 오픈 기념 할인 쿠폰'을 보내드릴 예정이오니, 관심 있는 지역을 마이페이지 설정에서 미리 등록해 주세요.",기타
admin1,앱 푸시 알림이 안 오는데 스마트폰 설정 문제인가요?,"앱 푸시 알림이 오지 않는다면 두 가지를 확인해 주세요. 첫째, 스마트폰의 '설정 > 알림' 메뉴에서 해당 앱의 알림 허용이 켜져 있는지 확인해 보세요. 둘째, 앱 내의 '알림 설정' 메뉴에서 각 항목(예약, 커뮤니티 등)별 수신 동의가 되어 있는지 체크해 주세요. 또한 저전력 모드나 방해 금지 모드가 켜져 있는 경우 알림이 제한될 수 있습니다. 최신 버전으로 앱을 업데이트하는 것도 잊지 마시기 바랍니다.",기타
admin1,서비스 탈퇴 후 재가입하면 예전에 썼던 닉네임을 다시 쓸 수 있나요?,"탈퇴하신 계정의 닉네임은 데이터베이스에서 즉시 삭제되므로 재가입 시 다시 사용하실 수 있습니다. 하지만 탈퇴 처리 프로세스가 완료되기 전(약 24시간)까지는 시스템상 중복 닉네임으로 판단되어 사용이 일시적으로 제한될 수 있습니다. 또한, 이전에 사용했던 닉네임이 운영 정책에 의해 금지어로 지정되었거나 타인이 이미 선점한 경우에는 사용이 불가능합니다. 재가입 시에는 신선한 새 닉네임으로 시작해 보시는 건 어떨까요?",기타
admin1,비밀번호를 바꿨는데 예전 기기에서 여전히 로그인이 되어 있어요.,비밀번호를 변경하시면 보안을 위해 모든 기기에서 즉시 로그아웃되는 것이 원칙입니다. 하지만 일부 모바일 기기에서는 캐시 데이터로 인해 일시적으로 로그인 상태가 유지되는 것처럼 보일 수 있습니다. 이 경우 마이페이지의 '로그인 기기 관리' 메뉴에서 '모든 기기 로그아웃' 버튼을 클릭하시면 즉시 전체 세션이 종료됩니다. 타인의 기기에서 로그인했던 기억이 있으시다면 비밀번호 변경 후 반드시 전체 로그아웃 기능을 사용해 주세요.,기타
admin1,내 프로필 사진을 등록하고 싶은데 크기나 형식 제한이 있나요?,"프로필 사진은 1:1 비율(정사각형)의 이미지를 권장하며, 최소 200x200 픽셀 이상의 고화질 사진을 등록해 주시는 것이 좋습니다. 허용되는 파일 형식은 JPG, JPEG, PNG이며 최대 용량은 2MB입니다. 프로필 사진은 리뷰 작성 시 닉네임 옆에 작게 노출되므로, 타인에게 불쾌감을 줄 수 있는 사진이나 저작권이 있는 캐릭터 사진은 관리자에 의해 기본 이미지로 변경될 수 있습니다. 본인을 잘 표현할 수 있는 멋진 사진을 등록해 보세요!",기타
admin1,장소 예약 내역을 엑셀 파일로 추출해서 보고 싶어요.,"법인 회원이나 동호회 관리자분들을 위해 예약 내역 엑셀 다운로드 기능을 제공하고 있습니다. PC 버전 홈페이지의 '마이페이지 > 예약 내역' 리스트 우측 상단에 있는 '엑셀 다운로드' 버튼을 클릭하시면 선택한 기간의 모든 예약 일시, 장소명, 결제 금액, 포인트 사용 현황 등이 담긴 파일을 받으실 수 있습니다. 모바일 환경에서는 지원되지 않으니 가급적 PC 브라우저를 통해 이용해 주시기 바랍니다.",기타
admin1,브라우저의 '쿠키'를 삭제하면 장바구니에 담긴 장소가 없어지나요?,"장바구니 기능은 로그인한 상태라면 서버 데이터베이스에 저장되므로 브라우저 쿠키나 캐시를 삭제해도 사라지지 않습니다. 하지만 로그인을 하지 않은 비회원 상태에서 장바구니에 담으셨다면, 해당 정보는 브라우저의 로컬 스토리지에 임시 저장되므로 쿠키 삭제 시 함께 삭제됩니다. 마음에 드는 장소를 안전하게 보관하고 싶으시다면 반드시 로그인 후 '찜하기' 또는 '장바구니' 기능을 이용해 주시기 바랍니다.",기타
