question,answer,category,order_no,created_at
숙소 체크인 시간은 언제인가요?,일반적으로 오후 3시입니다. 숙소마다 상이할 수 있으니 예약 상세 페이지를 확인해 주세요.,숙소,1,2024-02-26 10:00:00
반려동물 동반이 가능한 숙소를 찾고 싶어요,검색 필터에서 '반려동물 동반' 옵션을 선택하시면 해당 숙소를 확인하실 수 있습니다.,숙소,2,2024-02-26 10:05:00
얼리 체크인이 가능한가요?,숙소 상황에 따라 가능 여부가 달라지며 추가 비용이 발생할 수 있습니다. 숙소 측에 문의 부탁드립니다.,숙소,3,2024-02-26 10:10:00
예약 취소 수수료는 어떻게 되나요?,숙소의 취소 규정에 따라 다릅니다. 예약 시 확인하신 취소 정책을 참고해 주세요.,숙소,4,2024-02-26 10:15:00
체크아웃 연장이 가능한가요?,레이트 체크아웃은 현장 상황에 따라 가능하며 추가 요금이 부과될 수 있습니다.,숙소,5,2024-02-26 10:20:00
숙소에 짐 보관 서비스가 있나요?,대부분의 호텔은 체크인 전/후 짐 보관 서비스를 제공합니다. 상세페이지를 확인하세요.,숙소,6,2024-02-26 10:25:00
조식 포함 여부를 어떻게 확인하나요?,예약 옵션명에 '조식 포함' 표기가 있는지 확인하시기 바랍니다.,숙소,7,2024-02-26 10:30:00
미성년자 투숙이 가능한가요?,만 19세 미만 미성년자는 보호자 동반 없이 투숙이 제한될 수 있으며 동의서가 필요합니다.,숙소,8,2024-02-26 10:35:00
객실 내 취사가 가능한가요?,펜션이나 리조트 등 취사 가능 객실로 명시된 경우에만 가능합니다.,숙소,9,2024-02-26 10:40:00
인원 추가 비용은 얼마인가요?,기준 인원 초과 시 현장에서 추가 비용이 발생하며 금액은 숙소별로 다릅니다.,숙소,10,2024-02-26 10:45:00
수영장 이용 시간이 궁금합니다,수영장 이용 시간은 숙소 안내 페이지 또는 체크인 시 제공되는 안내문을 참고하세요.,숙소,11,2024-02-26 10:50:00
주차 공간이 넉넉한가요?,숙소마다 주차 용량이 다르며 기계식 주차인 경우 대형 차량 입고가 제한될 수 있습니다.,숙소,12,2024-02-26 10:55:00
흡연 가능한 객실이 있나요?,대부분의 숙소는 금연 객실을 운영하며 흡연 시 과태료가 부과될 수 있습니다.,숙소,13,2024-02-26 11:00:00
예약 변경이 가능한가요?,일부 상품은 변경이 불가능하므로 취소 후 재예약을 하셔야 할 수도 있습니다.,숙소,14,2024-02-26 11:05:00
어메니티 구성이 궁금합니다,기본적으로 샴푸와 바디워시가 제공되나 칫솔 세트는 유료인 경우가 많습니다.,숙소,15,2024-02-26 11:10:00
