admin_id,question,answer,category
admin1,장소 상세 페이지에 있는 가상 VR 투어 기능은 어떻게 이용하나요?,"장소 상세 이미지 우측 하단에 위치한 '360도 VR 보기' 버튼을 클릭하시면 별도의 프로그램 설치 없이 웹 브라우저에서 바로 가상 투어가 가능합니다. 마우스 드래그를 통해 상하좌우 모든 방향을 살펴보실 수 있으며, 바닥의 화살표를 클릭하면 공간 내 다른 위치로 이동도 가능합니다. 모바일 환경에서는 자이로 센서를 이용하여 휴대폰을 움직이는 방향에 따라 화면이 전환되어 더욱 생동감 있게 공간을 미리 체험하실 수 있습니다.",장소/정보
admin1,휠체어나 유모차를 이용하는 방문객을 위한 엘리베이터가 설치되어 있나요?,"저희 신촌 지점은 지은 지 얼마 되지 않은 신축 건물로, 입구부터 장소 내부까지 턱이 없는 무장애(Barrier-free) 설계를 적용하고 있습니다. 건물 우측 전용 입구에 설치된 장애인 겸용 대형 엘리베이터를 이용하시면 휠체어나 유모차를 동반한 고객님도 불편함 없이 이용하실 수 있습니다. 또한, 각 층마다 장애인 전용 화장실과 넓은 복도를 확보하고 있으니 안심하고 방문해 주시기 바랍니다.",장소/정보
admin1,예약 완료 문자를 못 받았는데 예약이 제대로 된 건지 어떻게 확인하나요?,"간혹 통신사 스팸 차단 서비스나 일시적인 네트워크 오류로 인해 문자 발송이 누락되는 경우가 있습니다. 이럴 때는 홈페이지 상단의 '마이페이지 > 예약 내역' 메뉴에 접속하여 해당 예약의 상태값이 '예약 확정' 또는 '결제 완료'로 표시되어 있는지 확인해 주세요. 만약 내역 자체가 존재하지 않는다면 결제가 정상적으로 이루어지지 않은 것이니, 고객센터로 연락 주시면 결제 대행사를 통해 승인 여부를 즉시 확인해 드립니다.",예약/결제
admin1,카드 결제 시 할부 결제가 가능한가요? 할부 기준 금액이 궁금합니다.,"네, 신용카드 결제 시 할부 선택이 가능합니다. 보통 결제 금액이 50,000원 이상일 경우에 한해 2개월부터 최대 12개월까지 할부 결제를 선택하실 수 있습니다. 무이자 할부 혜택은 각 카드사별 월간 프로모션에 따라 다르게 적용되므로, 결제창 내 카드 선택 화면에서 '무이자' 표시를 반드시 확인해 주시기 바랍니다. 법인카드나 체크카드는 카드사 정책상 할부 결제가 불가능한 점 이용에 참고 부탁드립니다.",예약/결제
admin1,회원 탈퇴를 하면 그동안 모은 포인트나 예약 내역은 모두 삭제되나요?,"회원 탈퇴를 진행하시면 개인정보 보호법에 따라 고객님의 계정에 귀속된 모든 포인트와 쿠폰, 그리고 과거 예약 내역은 즉시 파기되며 복구가 절대 불가능합니다. 특히 탈퇴 후 동일한 아이디로 재가입하시더라도 이전 데이터는 연동되지 않으므로 주의가 필요합니다. 만약 나중에 증빙 서류 출력이 필요할 수도 있다면 탈퇴 전 마이페이지에서 필요한 영수증을 미리 다운로드 받아두시는 것을 권장합니다.",회원/포인트
admin1,포인트를 친구나 다른 회원에게 선물하거나 양도할 수 있나요?,"현재 저희 서비스에서 제공하는 포인트는 본인 계정 전용으로, 타인에게 양도하거나 선물하는 기능은 제공되지 않습니다. 포인트는 가입 시 본인 인증을 거친 명의자 본인만 사용 가능하며, 이는 부정 사용 방지 및 포인트 세탁 방지를 위한 보안 정책의 일환입니다. 다만, 친구 초대 이벤트를 통해 친구가 가입할 경우 본인과 친구 모두에게 신규 포인트를 증정하는 혜택이 있으니 이를 적극 활용해 보세요.",회원/포인트
admin1,내가 쓴 리뷰에 다른 사람이 댓글을 달면 알림을 받을 수 있나요?,"네, 본인이 작성한 리뷰에 새로운 댓글이나 답글이 등록되면 실시간 앱 푸시 알림 또는 홈페이지 상단의 종 모양 알림 아이콘을 통해 즉시 확인하실 수 있습니다. 만약 알림이 오지 않는다면 마이페이지의 '알림 설정' 메뉴에서 '커뮤니티 알림' 항목이 활성화되어 있는지 확인해 주세요. 알림 메시지를 클릭하면 해당 리뷰 페이지로 바로 이동하여 답변 내용을 확인하고 다시 답글을 다실 수 있습니다.",리뷰/커뮤니티
admin1,리뷰 작성 시 개인정보가 노출되지 않게 닉네임을 변경하고 싶어요.,"리뷰 작성 시에는 실제 이름 대신 마이페이지에서 설정한 '닉네임'이 노출됩니다. 닉네임 변경은 '마이페이지 > 회원정보 수정' 메뉴에서 가능하며, 한 번 변경하시면 이후 작성하는 모든 리뷰와 게시글에 소급 적용됩니다. 단, 닉네임은 타인에게 불쾌감을 주지 않는 단어여야 하며 24시간 이내에는 재변경이 제한될 수 있습니다. 개인정보 보호를 위해 실제 성함이나 전화번호를 닉네임으로 사용하는 것은 지양해 주시기 바랍니다.",리뷰/커뮤니티
admin1,이번 달 진행 중인 쿠폰 증정 이벤트 참여 방법이 궁금합니다.,"현재 진행 중인 모든 쿠폰 이벤트는 '이벤트/공지' 게시판의 상단 배너를 통해 확인하실 수 있습니다. 대표적으로 매주 월요일 오전 10시에 선착순으로 지급하는 '월요병 타파 쿠폰'과 첫 리뷰 작성 시 100% 지급되는 '감사 쿠폰' 이벤트가 있습니다. 각 이벤트 페이지 하단의 '쿠폰 받기' 버튼을 클릭하시면 즉시 본인의 쿠폰함으로 발급되며, 결제 단계에서 적용하여 할인을 받으실 수 있습니다. 쿠폰마다 유효기간이 다르니 주의하세요.",이벤트/공지
admin1,공지사항에 올라온 점검 시간이 지났는데도 접속이 안 돼요.,"간혹 시스템 데이터베이스 최적화 과정에서 예상보다 시간이 조금 더 소요되어 점검 시간이 연장될 수 있습니다. 이럴 경우 홈페이지 메인 화면에 연장 공지 팝업을 띄워 안내드리고 있습니다. 점검 완료 공지가 떴음에도 접속이 원활하지 않다면 브라우저의 '캐시 및 쿠폰 삭제'를 진행하시거나, 비행기 모드를 켰다 끄는 등 네트워크 환경을 초기화하신 후 재접속해 보시기 바랍니다. 지속적인 장애는 고객센터 이메일로 제보 부탁드립니다.",이벤트/공지
admin1,장소 예약 후 인원 추가는 당일에 현장에서 바로 가능한가요?,"예약하신 장소의 '최대 수용 인원'을 초과하지 않는 범위 내에서라면 당일 현장 인원 추가가 가능합니다. 추가된 인원에 대한 비용은 현장에서 직접 결제하시거나 관리자를 통해 안내받으시면 됩니다. 하지만 해당 공간의 안전 규정상 최대 인원을 이미 채운 상태라면 추가 입장이 엄격히 제한될 수 있으니, 인원 변경이 예상되는 경우 사전에 고객센터나 매장 전화를 통해 가능 여부를 미리 확인하시는 것이 가장 안전합니다.",장소/정보
admin1,대관한 장소에서 직접 취사가 가능한 주방 시설이 있나요?,"대부분의 일반 공유 오피스나 회의실은 화재 예방을 위해 직접적인 취사가 불가능합니다. 하지만 카테고리가 '파티룸'이나 '공유주방'으로 등록된 일부 장소의 경우 인덕션, 전자레인지, 싱크대 등 조리 시설이 구비되어 있어 직접 요리가 가능합니다. 장소 상세 설명 페이지의 '시설 안내' 아이콘 중 주방 도구 모양이 있는지 확인해 주세요. 취사 가능 장소라도 기름이 많이 튀는 튀김이나 연기가 심한 구이 요리는 금지될 수 있습니다.",장소/정보
admin1,예약 결제 시 사용할 수 있는 포인트에 한도가 정해져 있나요?,"포인트 사용 한도는 전체 결제 금액의 최소 10%에서 최대 100%까지 장소별 정책에 따라 다를 수 있습니다. 일반적으로는 1,000포인트 단위로 사용이 가능하며, 결제 페이지에서 '모두 사용' 버튼을 누르면 해당 예약에서 사용 가능한 최대 포인트가 자동으로 계산되어 적용됩니다. 일부 특가 상품이나 타 쿠폰과 중복 할인이 불가능한 상품의 경우 포인트 사용이 제한될 수 있으니 결제 최종 단계의 할인 적용 내역을 확인해 주시기 바랍니다.",회원/포인트
admin1,로그인할 때 '자동 로그인'을 설정했는데 자꾸 로그아웃이 돼요.,"자동 로그인은 보안을 위해 브라우저의 쿠키(Cookie)를 사용합니다. 브라우저 설정에서 '종료 시 쿠키 삭제' 기능이 켜져 있거나, 시크릿 모드(Incognito)를 사용 중이시라면 브라우저를 닫을 때마다 로그아웃이 됩니다. 또한, 같은 계정으로 다른 기기나 브라우저에서 새로 로그인할 경우 기존 기기의 자동 로그인 세션이 만료되어 로그아웃될 수 있습니다. 보안을 위해 공공장소의 PC에서는 자동 로그인 기능을 절대 사용하지 마시기 바랍니다.",회원/포인트
